"number","cmdb_ci","cmdb_ci.fqdn","vulnerability.summary","vulnerability.threat","vulnerability.solution","cmdb_ci.location","cmdb_ci.sys_class_name","cmdb_ci.u_dc_ci_status","cmdb_ci.ref_cmdb_ci_computer.u_dmz","cmdb_ci.ref_cmdb_ci_computer.os","risk_rating","state","substate","closed_at","assignment_group","assigned_to","ttr_applied_rule","vulnerability.date_published","opened_at","ttr_target_date","ttr_status","cmdb_ci.owned_by","vulnerability.remediation_type","risk_score","cmdb_ci.owned_by.u_manager_l3","cmdb_ci.owned_by.u_manager_l4","cmdb_ci.owned_by.u_manager_l5","sys_updated_on","preferred_solution","short_description","source","vulnerability"
"VIT79925141","VA10PLVWBS628","VA10PLVWBS628.WELLPOINT.COM","Apache Log4j Remote Code Execution (RCE) Vulnerability (Log4Shell) (Unauthenticated)","A zero-day exploit affecting the popular Apache Log4j utility (CVE-2021-44228) was made public on December 9, 2021 that results in remote code execution (RCE).<br />

<p>Affected versions:<br />
Log4j versions  2.x prior to and including  2.14.1 (exclude 2.12.x)<br />
Log4j versions 2.12.x prior to 2.12.2<br />

</p><p>QID Detection Logic: (Unauthenticated)<br />
The QID sends a specially crafted payload to do a callback on scanner to find vulnerable instances.</p><p></p>","Apache recommends customers to upgrade to Log4j 2.3.1 (for Java 6), 2.12.3 (for Java 7), or 2.17.0 (for Java 8 and later). If updating the version is not possible, please refer to the mitigations mentioned here <a href=""https://logging.apache.org/log4j/2.x/security.html"" target=""_blank"" rel=""noopener noreferrer nofollow"">Log4j</a>.
<p>Patch:<br />
Following are links for downloading patches to fix the vulnerabilities:
</p><p> <a href=""https://logging.apache.org/log4j/2.x/download.html"" target=""_blank"" rel=""noopener noreferrer nofollow"">Apache Log4j</a></p>","VA-RICHMOND 2103 STAPLES MILL RD","Linux Server","Deployed - Functional","false","Linux Red Hat","2 - High","Open","","","Vulnerability Response TPST","Balakrishnan, Yogesh","Internal & Risk Rating 1,2 (< 90 Days)","2021-12-11","2025-03-22 00:00:00","2025-08-15 03:28:37","In-flight","Balakrishnan, Yogesh","Patch","75","Chennuru, Ashok","Umrani, Ninad","Valiyaveedu, Biju","2025-06-08 03:27:23","","QID-730297 detected on VA10PLVWBS628","Qualys","QID-730297"
"VIT79926033","VA10PLVWBS746","VA10PLVWBS746.WELLPOINT.COM","Apache Log4j Remote Code Execution (RCE) Vulnerability (Log4Shell) (Unauthenticated)","A zero-day exploit affecting the popular Apache Log4j utility (CVE-2021-44228) was made public on December 9, 2021 that results in remote code execution (RCE).<br />

<p>Affected versions:<br />
Log4j versions  2.x prior to and including  2.14.1 (exclude 2.12.x)<br />
Log4j versions 2.12.x prior to 2.12.2<br />

</p><p>QID Detection Logic: (Unauthenticated)<br />
The QID sends a specially crafted payload to do a callback on scanner to find vulnerable instances.</p><p></p>","Apache recommends customers to upgrade to Log4j 2.3.1 (for Java 6), 2.12.3 (for Java 7), or 2.17.0 (for Java 8 and later). If updating the version is not possible, please refer to the mitigations mentioned here <a href=""https://logging.apache.org/log4j/2.x/security.html"" target=""_blank"" rel=""noopener noreferrer nofollow"">Log4j</a>.
<p>Patch:<br />
Following are links for downloading patches to fix the vulnerabilities:
</p><p> <a href=""https://logging.apache.org/log4j/2.x/download.html"" target=""_blank"" rel=""noopener noreferrer nofollow"">Apache Log4j</a></p>","VA-RICHMOND 2103 STAPLES MILL RD","Linux Server","Deployed - Functional","false","Linux Red Hat","2 - High","Open","","","Vulnerability Response TPST","Balakrishnan, Yogesh","Internal & Risk Rating 1,2 (< 90 Days)","2021-12-11","2025-03-22 00:00:00","2025-08-15 04:45:35","In-flight","Balakrishnan, Yogesh","Patch","75","Chennuru, Ashok","Umrani, Ninad","Valiyaveedu, Biju","2025-06-08 03:27:23","","QID-730297 detected on VA10PLVWBS746","Qualys","QID-730297"
"VIT79926027","VA10PLVWBS745","VA10PLVWBS745.WELLPOINT.COM","Apache Log4j Remote Code Execution (RCE) Vulnerability (Log4Shell) (Unauthenticated)","A zero-day exploit affecting the popular Apache Log4j utility (CVE-2021-44228) was made public on December 9, 2021 that results in remote code execution (RCE).<br />

<p>Affected versions:<br />
Log4j versions  2.x prior to and including  2.14.1 (exclude 2.12.x)<br />
Log4j versions 2.12.x prior to 2.12.2<br />

</p><p>QID Detection Logic: (Unauthenticated)<br />
The QID sends a specially crafted payload to do a callback on scanner to find vulnerable instances.</p><p></p>","Apache recommends customers to upgrade to Log4j 2.3.1 (for Java 6), 2.12.3 (for Java 7), or 2.17.0 (for Java 8 and later). If updating the version is not possible, please refer to the mitigations mentioned here <a href=""https://logging.apache.org/log4j/2.x/security.html"" target=""_blank"" rel=""noopener noreferrer nofollow"">Log4j</a>.
<p>Patch:<br />
Following are links for downloading patches to fix the vulnerabilities:
</p><p> <a href=""https://logging.apache.org/log4j/2.x/download.html"" target=""_blank"" rel=""noopener noreferrer nofollow"">Apache Log4j</a></p>","VA-RICHMOND 2103 STAPLES MILL RD","Linux Server","Deployed - Functional","false","Linux Red Hat","2 - High","Open","","","Vulnerability Response TPST","Balakrishnan, Yogesh","Internal & Risk Rating 1,2 (< 90 Days)","2021-12-11","2025-03-22 00:00:00","2025-08-15 04:45:20","In-flight","Balakrishnan, Yogesh","Patch","75","Chennuru, Ashok","Umrani, Ninad","Valiyaveedu, Biju","2025-06-08 03:27:23","","QID-730297 detected on VA10PLVWBS745","Qualys","QID-730297"
"VIT35704061","VA10PLVWBS687","VA10PLVWBS687.WELLPOINT.COM","EOL/Obsolete Software: Apache Log4j 1.X Detected","On August 5, 2015, the Apache Logging Services Project Management Committee (PMC) has announced that the Log4j 1.x logging framework has reached its end of life (EOL) and is no longer officially supported.<br />

<p>QID Detection: (Authenticated) - Linux<br />
This QID uses the OS package manager, locate command and ls proc command to check vulnerable versions of log4j</p><p>

</p><p>QID Detection: (Authenticated) - MacOS<br />
This QID uses the locate command and mdfind command to check vulnerable versions of log4j<br />

QID Detection: (Authenticated) - Windows<br />
On Windows system, the QID identifies vulnerable instance of log4j via WMI query to check log4j included in the running processes via command-line.
</p><p>

</p>","Customers are advised to upgrade to Apache Log4j 2.X, for more information please refer to <a href=""https://blogs.apache.org/foundation/entry/apache_logging_services_project_announces"" target=""_blank"" rel=""noopener noreferrer nofollow""> Apache Blog</a>.<br />","VA-RICHMOND 2103 STAPLES MILL RD","Linux Server","Deployed - Functional","false","Linux Red Hat","2 - High","Open","","","Vulnerability Response TPST","Balakrishnan, Yogesh","Internal & Risk Rating 1,2 (< 90 Days)","2022-01-12","2022-01-13 00:00:00","2024-02-27 04:03:43","Target Missed","Balakrishnan, Yogesh","","75","Chennuru, Ashok","Umrani, Ninad","Valiyaveedu, Biju","2025-06-11 03:33:16","","QID-106032 detected on VA10PLVWBS687","Qualys","QID-106032"
"VIT35706763","VA10PLVWBS688","VA10PLVWBS688.WELLPOINT.COM","EOL/Obsolete Software: Apache Log4j 1.X Detected","On August 5, 2015, the Apache Logging Services Project Management Committee (PMC) has announced that the Log4j 1.x logging framework has reached its end of life (EOL) and is no longer officially supported.<br />

<p>QID Detection: (Authenticated) - Linux<br />
This QID uses the OS package manager, locate command and ls proc command to check vulnerable versions of log4j</p><p>

</p><p>QID Detection: (Authenticated) - MacOS<br />
This QID uses the locate command and mdfind command to check vulnerable versions of log4j<br />

QID Detection: (Authenticated) - Windows<br />
On Windows system, the QID identifies vulnerable instance of log4j via WMI query to check log4j included in the running processes via command-line.
</p><p>

</p>","Customers are advised to upgrade to Apache Log4j 2.X, for more information please refer to <a href=""https://blogs.apache.org/foundation/entry/apache_logging_services_project_announces"" target=""_blank"" rel=""noopener noreferrer nofollow""> Apache Blog</a>.<br />","VA-RICHMOND 2103 STAPLES MILL RD","Linux Server","Deployed - Functional","false","Linux Red Hat","2 - High","Open","","","Vulnerability Response TPST","Balakrishnan, Yogesh","Internal & Risk Rating 1,2 (< 90 Days)","2022-01-12","2022-01-13 00:00:00","2024-02-27 04:20:08","Target Missed","Balakrishnan, Yogesh","","75","Chennuru, Ashok","Umrani, Ninad","Valiyaveedu, Biju","2025-06-11 03:32:18","","QID-106032 detected on VA10PLVWBS688","Qualys","QID-106032"
"VIT79926035","VA10PLVWBS744","VA10PLVWBS744.WELLPOINT.COM","Apache Log4j Remote Code Execution (RCE) Vulnerability (Log4Shell) (Unauthenticated)","A zero-day exploit affecting the popular Apache Log4j utility (CVE-2021-44228) was made public on December 9, 2021 that results in remote code execution (RCE).<br />

<p>Affected versions:<br />
Log4j versions  2.x prior to and including  2.14.1 (exclude 2.12.x)<br />
Log4j versions 2.12.x prior to 2.12.2<br />

</p><p>QID Detection Logic: (Unauthenticated)<br />
The QID sends a specially crafted payload to do a callback on scanner to find vulnerable instances.</p><p></p>","Apache recommends customers to upgrade to Log4j 2.3.1 (for Java 6), 2.12.3 (for Java 7), or 2.17.0 (for Java 8 and later). If updating the version is not possible, please refer to the mitigations mentioned here <a href=""https://logging.apache.org/log4j/2.x/security.html"" target=""_blank"" rel=""noopener noreferrer nofollow"">Log4j</a>.
<p>Patch:<br />
Following are links for downloading patches to fix the vulnerabilities:
</p><p> <a href=""https://logging.apache.org/log4j/2.x/download.html"" target=""_blank"" rel=""noopener noreferrer nofollow"">Apache Log4j</a></p>","VA-RICHMOND 2103 STAPLES MILL RD","Linux Server","Deployed - Functional","false","Linux Red Hat","2 - High","Open","","","Vulnerability Response TPST","Balakrishnan, Yogesh","Internal & Risk Rating 1,2 (< 90 Days)","2021-12-11","2025-03-22 00:00:00","2025-08-15 04:45:38","In-flight","Balakrishnan, Yogesh","Patch","75","Chennuru, Ashok","Umrani, Ninad","Valiyaveedu, Biju","2025-06-08 03:27:23","","QID-730297 detected on VA10PLVWBS744","Qualys","QID-730297"
"VIT79925116","VA10PLVWBS629","VA10PLVWBS629.WELLPOINT.COM","Apache Log4j Remote Code Execution (RCE) Vulnerability (Log4Shell) (Unauthenticated)","A zero-day exploit affecting the popular Apache Log4j utility (CVE-2021-44228) was made public on December 9, 2021 that results in remote code execution (RCE).<br />

<p>Affected versions:<br />
Log4j versions  2.x prior to and including  2.14.1 (exclude 2.12.x)<br />
Log4j versions 2.12.x prior to 2.12.2<br />

</p><p>QID Detection Logic: (Unauthenticated)<br />
The QID sends a specially crafted payload to do a callback on scanner to find vulnerable instances.</p><p></p>","Apache recommends customers to upgrade to Log4j 2.3.1 (for Java 6), 2.12.3 (for Java 7), or 2.17.0 (for Java 8 and later). If updating the version is not possible, please refer to the mitigations mentioned here <a href=""https://logging.apache.org/log4j/2.x/security.html"" target=""_blank"" rel=""noopener noreferrer nofollow"">Log4j</a>.
<p>Patch:<br />
Following are links for downloading patches to fix the vulnerabilities:
</p><p> <a href=""https://logging.apache.org/log4j/2.x/download.html"" target=""_blank"" rel=""noopener noreferrer nofollow"">Apache Log4j</a></p>","VA-RICHMOND 2103 STAPLES MILL RD","Linux Server","Deployed - Functional","false","Linux Red Hat","2 - High","Open","","","Vulnerability Response TPST","Balakrishnan, Yogesh","Internal & Risk Rating 1,2 (< 90 Days)","2021-12-11","2025-03-22 00:00:00","2025-08-15 03:27:59","In-flight","Balakrishnan, Yogesh","Patch","75","Chennuru, Ashok","Umrani, Ninad","Valiyaveedu, Biju","2025-06-08 03:27:24","","QID-730297 detected on VA10PLVWBS629","Qualys","QID-730297"
"VIT79925139","VA10PLVWBS630","VA10PLVWBS630.WELLPOINT.COM","Apache Log4j Remote Code Execution (RCE) Vulnerability (Log4Shell) (Unauthenticated)","A zero-day exploit affecting the popular Apache Log4j utility (CVE-2021-44228) was made public on December 9, 2021 that results in remote code execution (RCE).<br />

<p>Affected versions:<br />
Log4j versions  2.x prior to and including  2.14.1 (exclude 2.12.x)<br />
Log4j versions 2.12.x prior to 2.12.2<br />

</p><p>QID Detection Logic: (Unauthenticated)<br />
The QID sends a specially crafted payload to do a callback on scanner to find vulnerable instances.</p><p></p>","Apache recommends customers to upgrade to Log4j 2.3.1 (for Java 6), 2.12.3 (for Java 7), or 2.17.0 (for Java 8 and later). If updating the version is not possible, please refer to the mitigations mentioned here <a href=""https://logging.apache.org/log4j/2.x/security.html"" target=""_blank"" rel=""noopener noreferrer nofollow"">Log4j</a>.
<p>Patch:<br />
Following are links for downloading patches to fix the vulnerabilities:
</p><p> <a href=""https://logging.apache.org/log4j/2.x/download.html"" target=""_blank"" rel=""noopener noreferrer nofollow"">Apache Log4j</a></p>","VA-RICHMOND 2103 STAPLES MILL RD","Linux Server","Deployed - Functional","false","Linux Red Hat","2 - High","Open","","","Vulnerability Response TPST","Balakrishnan, Yogesh","Internal & Risk Rating 1,2 (< 90 Days)","2021-12-11","2025-03-22 00:00:00","2025-08-15 03:28:25","In-flight","Balakrishnan, Yogesh","Patch","75","Chennuru, Ashok","Umrani, Ninad","Valiyaveedu, Biju","2025-06-08 03:27:23","","QID-730297 detected on VA10PLVWBS630","Qualys","QID-730297"
"VIT57985588","DC04PLVWBS374","DC04PLVWBS374.WELLPOINT.COM","Deprecated SSH Cryptographic Settings","The SSH protocol (Secure Shell) is a method for secure remote login from one computer to another. <p>
The target is using deprecated SSH cryptographic settings to communicate.</p>","Avoid using deprecated cryptographic settings. <p>
Use best practices when configuring SSH.</p><p>
Refer to <a href=""https://csrc.nist.gov/publications/detail/nistir/7966/final"" target=""_blank"" rel=""noopener noreferrer nofollow"">Security of Interactive and Automated Access Management Using Secure Shell (SSH)</a> .</p><p>
Settings currently considered deprecated:</p><p>

1.Ciphers using CFB or OFB:<br />
These are considered uncommon and deprecated due to vulnerabilities when compared to newer cipher chaining modes such as CTR or GCM.</p><p>
 
2.RC4 cipher (arcfour, arcfour128, arcfour256):<br />
The RC4 cipher is no longer considered secure and exhibits cryptographic bias.</p><p>
 
3.Ciphers with a 64-bit block size (DES, 3DES, Blowfish, IDEA, CAST):<br />
These ciphers may be vulnerable to birthday attacks (Sweet32).</p><p>
 
4.Key exchange algorithms using DH group 1 (diffie-hellman-group1-sha1, gss-group1-sha1-*):<br />
DH group 1 uses a 1024-bit key size, which is considered too short and vulnerable to Logjam-style attacks.</p><p>

5.Key exchange algorithm &#34;rsa1024sha1&#34;:<br />
This algorithm is very uncommon and deprecated due to its short RSA key size.</p><p>

6.MAC algorithm &#34;umac-32&#34;:<br />
This algorithm is extremely uncommon and deprecated due to its very short MAC length.</p><p>

7.Cipher &#34;none&#34;:<br />
This cipher is available only in SSHv1.</p><p>

8.MAC algorithm &#34;MD5&#34;:<br />
All MD5 based mac algorithms are deprecated.</p><p>

9.96-bit MAC:<br />
both sha1 and sha2 variants of 96 bit macs are considered deprecated. </p><p>

10.CBC Ciphers:<br />
All CBC Ciphers are deprecated.</p><p></p>","VA-ASHBURN 22001 LOUDOUN COUNTY PKWY STE E1-2","Linux Server","Deployed - Functional","false","Linux Red Hat","3 - Medium","Open","","","Vulnerability Response TPST","Balakrishnan, Yogesh","Internal & RiskRating 3,4,5 (< 180 Days)","2019-01-03","2023-08-25 00:00:00","2024-02-20 23:00:00","Target Missed","Balakrishnan, Yogesh","","48","Chennuru, Ashok","Umrani, Ninad","Valiyaveedu, Biju","2025-06-08 14:29:13","","QID-38739 detected on DC04PLVWBS374","Qualys","QID-38739"
"VIT60161502","DC04PLVPEG398","DC04PLVPEG398.WELLPOINT.COM","Deprecated SSH Cryptographic Settings","The SSH protocol (Secure Shell) is a method for secure remote login from one computer to another. <p>
The target is using deprecated SSH cryptographic settings to communicate.</p>","Avoid using deprecated cryptographic settings. <p>
Use best practices when configuring SSH.</p><p>
Refer to <a href=""https://csrc.nist.gov/publications/detail/nistir/7966/final"" target=""_blank"" rel=""noopener noreferrer nofollow"">Security of Interactive and Automated Access Management Using Secure Shell (SSH)</a> .</p><p>
Settings currently considered deprecated:</p><p>

1.Ciphers using CFB or OFB:<br />
These are considered uncommon and deprecated due to vulnerabilities when compared to newer cipher chaining modes such as CTR or GCM.</p><p>
 
2.RC4 cipher (arcfour, arcfour128, arcfour256):<br />
The RC4 cipher is no longer considered secure and exhibits cryptographic bias.</p><p>
 
3.Ciphers with a 64-bit block size (DES, 3DES, Blowfish, IDEA, CAST):<br />
These ciphers may be vulnerable to birthday attacks (Sweet32).</p><p>
 
4.Key exchange algorithms using DH group 1 (diffie-hellman-group1-sha1, gss-group1-sha1-*):<br />
DH group 1 uses a 1024-bit key size, which is considered too short and vulnerable to Logjam-style attacks.</p><p>

5.Key exchange algorithm &#34;rsa1024sha1&#34;:<br />
This algorithm is very uncommon and deprecated due to its short RSA key size.</p><p>

6.MAC algorithm &#34;umac-32&#34;:<br />
This algorithm is extremely uncommon and deprecated due to its very short MAC length.</p><p>

7.Cipher &#34;none&#34;:<br />
This cipher is available only in SSHv1.</p><p>

8.MAC algorithm &#34;MD5&#34;:<br />
All MD5 based mac algorithms are deprecated.</p><p>

9.96-bit MAC:<br />
both sha1 and sha2 variants of 96 bit macs are considered deprecated. </p><p>

10.CBC Ciphers:<br />
All CBC Ciphers are deprecated.</p><p></p>","VA-ASHBURN 22001 LOUDOUN COUNTY PKWY STE E1-2","Linux Server","Deployed - Functional","false","Linux Red Hat","3 - Medium","Open","","","Vulnerability Response TPST","Balakrishnan, Yogesh","Internal & RiskRating 3,4,5 (< 180 Days)","2019-01-03","2023-10-25 00:00:00","2024-04-22 00:00:00","Target Missed","Balakrishnan, Yogesh","","48","Chennuru, Ashok","Umrani, Ninad","Valiyaveedu, Biju","2025-06-08 14:33:29","","QID-38739 detected on DC04PLVPEG398","Qualys","QID-38739"
